"ano","sg_estado","soma_acumulada","media"
"2010","ES","1691","0.03160747663551402"
"2010","MG","11484","0.02731092936590795"
"2010","RJ","4568","0.03905508579636295"
"2010","SP","5813","0.026558173959922878"
"2013","ES","2267","0.03682346826067182"
"2013","MG","13804","0.03249620987410191"
"2013","RJ","4752","0.040086719586985314"
"2013","SP","7488","0.03343051159219062"
"2016","ES","1519","0.024401214438322275"
"2016","MG","13058","0.029748533988235456"
"2016","RJ","4498","0.03133533968678593"
"2016","SP","7323","0.03140546196864171"
"2019","ES","2230","0.023542080148642373"
"2019","MG","12653","0.02345698008761376"
"2019","RJ","7015","0.03555499239736442"
"2019","SP","9033","0.032848108860952824"
"2022","ES","2750","0.03129480847577213"
"2022","MG","14749","0.02988222565750419"
"2022","RJ","7224","0.03712974337097363"
"2022","SP","7223","0.02871248951554879"
